date,cell,configuration,nav_pre,gamma_risk_spec,gamma_risk_used,gamma_risk_recovered,te_multiplier_first_pass,te_multiplier,information_ratio,information_ratio_without_identity,cos_theta,psi_unit,ledoit_wolf_intensity,forecast_volatility,te_attainment,turnover,trading_cost_priced,status,rung,attempt,relaxed,fell_back,at_lower_bound,largest_weight,effective_assets,term_alpha,term_misalignment,term_trading_cost,adv_participation_binding,adv_participation_multiplier,adv_participation_value,adv_participation_violation,position_box_binding,position_box_multiplier,position_box_value,position_box_violation,turnover_binding,turnover_multiplier,turnover_value,turnover_violation,tracking_error_binding,tracking_error_multiplier,tracking_error_value,tracking_error_violation,stress_volatility,w_commodity,w_dev_ex_us_equity,w_em_equity,w_gold,w_govt_10y,w_govt_2y,w_govt_30y,w_govt_5y,w_hy_credit,w_ig_credit,w_tips_10y,w_us_large_equity,w_us_small_equity,resolve_l1,resolve_status,resolve_te_ratio,resolve_objective_gap,resolve_verdict,band
2009-05-29,4D,eigenfactor_a1.0/time_varying/patient,8119893.01,85.02373363,1.552344071,1.574735946,0.06993741198,0.07094622816,3.830555351,2.874314644,0.842825607,0.001473040185,,0.02252638947,1.000000032,1,0.0008368156557,optimal,0,CLARABEL,,False,8,0.341886284,4.015037348,0.01170936632,5.906633342e-05,0.0008368156557,False,,0.05999998607,0,False,7.318734801e-11,0.341886284,0,False,5.348325884e-11,1,0,True,0.07094622816,0.02252638947,0,,0,0,1.475739629e-09,0.2463027842,0.2340222735,0.341886284,5.290933683e-09,0.06719670501,8.970051921e-09,2.296149968e-08,0.1105919135,3.161862248e-10,8.217349094e-10,,,,,,reference
2009-06-30,4D,eigenfactor_a1.0/time_varying/patient,8006599.791,29.56211418,5.367088003,4.980067573,0.2418022215,0.2243658762,1.331855352,1.205186683,0.7000349895,0.006643740092,,0.02252639123,1.000000111,0.7396095463,0.0008157686389,optimal,0,CLARABEL,,False,7,0.4915656907,2.421008968,0.009090627668,0.0003593266344,0.0008157686389,False,,0.05575116004,0,False,1.339434101e-10,0.4915656907,0,False,5.445025025e-11,0.7396095463,0,True,0.2243658762,0.02252639123,0,0.0066439575,1.071672501e-09,2.401875697e-09,0.04967397568,0.4082461179,1.484642037e-08,0.4915656907,0,0.04768332159,0.002829042553,2.023455496e-07,1.627085913e-06,1.713693699e-09,2.094195861e-09,,,,,,reference
2009-07-31,4D,eigenfactor_a1.0/time_varying/patient,8130762.281,31.57242536,2.495350232,2.370880431,0.1124224587,0.1068147485,1.422425454,1.171868984,0.7471750311,0.002864462049,,0.02252639177,1.000000135,0.5529635159,0.0006024181836,optimal,0,CLARABEL,,False,7,0.4345216499,3.11004245,0.007747199996,0.0001342854312,0.0006024181836,False,,0.02295071681,0,False,9.134155269e-11,0.4345216499,0,False,3.919866968e-11,0.5529635159,0,True,0.1068147485,0.02252639177,0,0.006607330968,0,3.062609139e-10,6.188598452e-08,0.4345216499,4.208989519e-08,0.2621633225,0,0.04783795006,0.007159897436,0.2483155533,1.521865315e-06,0,5.870593561e-10,,,,,,reference
2009-08-31,4D,eigenfactor_a1.0/time_varying/patient,8167408.185,33.95305023,3.170905138,3.099250306,0.1428580836,0.1396298344,1.529679217,1.565892531,0.7622048832,0.002850905155,,0.02252639238,1.000000162,0.7021865661,0.0009773233622,optimal,0,CLARABEL,,False,9,0.4680341079,2.573305874,0.007155425545,0.0002373122237,0.0009773233622,False,,0.04440028524,0,False,1.141880664e-10,0.4680341079,0,False,4.706983201e-11,0.7021865661,0,True,0.1396298344,0.02252639238,0,0.00503952358,0,2.833033156e-09,0.01419922446,0.3917488605,1.218857883e-08,1.103176057e-08,0,1.792983781e-08,0.1260177335,0.4680341079,2.570923458e-08,1.032323853e-09,2.857179101e-09,,,,,,reference
2009-09-30,4D,eigenfactor_a1.0/time_varying/patient,8485052.093,38.85776396,0.5087974957,0.4957929541,0.02292274035,0.02233684964,1.750650193,2.171443475,0.8709214257,0.0003153382079,,0.02252638845,0.9999999873,0.5957959282,0.00053571462,optimal,0,CLARABEL,,False,9,0.6617756421,2.098725164,0.006618393652,5.749436078e-05,0.00053571462,False,,0.01555489585,0,False,1.482857989e-10,0.6617756421,0,False,3.577160768e-11,0.5957959282,0,True,0.02233684964,0.02252638845,0,0.005448874328,0,1.918323145e-08,0.1091610525,0.1007184225,9.142277445e-09,4.522990208e-09,8.638395876e-10,7.013193971e-09,0.1283448233,0.6617756421,7.170749258e-09,4.059068077e-09,7.705669862e-09,,,,,,reference
2009-10-30,4D,eigenfactor_a1.0/time_varying/patient,8414549.33,59.56165657,1.967534494,1.778006882,0.08864289374,0.08010414838,2.683418059,3.264481796,0.8430862886,0.001389218431,,0.02252639001,1.000000056,0.04601203859,1.560346227e-05,optimal,0,CLARABEL,,False,9,0.6615772402,2.101115395,0.005831162937,0.0001061624846,1.560346227e-05,False,,0.003811643105,0,False,1.006676187e-10,0.6615772402,0,False,1.751799465e-11,0.04601203859,0,True,0.08010414838,0.02252639001,0,0.00676867613,0,3.233423475e-09,0.1162248311,0.1165338845,7.097078502e-09,2.546157819e-09,1.952521291e-09,4.043141143e-09,0.1056640148,0.6615772402,6.449647244e-09,1.405538445e-09,2.638000244e-09,,,,,,reference
2009-11-30,4D,eigenfactor_a1.0/time_varying/patient,8697621.984,72.6327747,3.67427764,3.535637553,0.1655364129,0.1592902919,3.272308236,3.263079404,0.8960789573,0.002032327814,,0.02252638954,1.000000036,0.4793077984,0.0005183037511,optimal,0,CLARABEL,,False,9,0.4614086436,3.022514207,0.005849405894,8.96084093e-05,0.0005183037511,False,,0.01535548413,0,False,2.697243928e-11,0.4614086436,0,False,9.595789218e-12,0.4793077984,0,True,0.1592902919,0.02252638954,0,0.006633241021,0,1.631401814e-09,0.06931208845,0.2736061343,2.962412844e-09,1.475250153e-09,0,2.28692855e-09,0.1956731203,0.4614086436,3.915312812e-09,8.584878083e-10,3.105650903e-10,,,,,,reference
2009-12-31,4D,eigenfactor_a1.0/time_varying/patient,8577076.564,116.6428918,11.11449492,10.85898305,0.5007388664,0.4892273469,5.255086246,5.384419136,0.9181341339,0.004426926504,,0.02252639095,1.000000098,0.2262987452,0.0001256873645,optimal,0,CLARABEL,,False,10,0.4451541531,2.693988572,0.008777627302,0.0001633385642,0.0001256873645,False,,0.00425004269,0,False,1.000665427e-10,0.4451541531,0,False,3.156528331e-11,0.2262987452,0,True,0.4892273469,0.02252639095,0,0.003633185649,1.465661641e-10,2.890274388e-09,1.187603725e-08,0.3751667228,2.468220452e-08,1.140098934e-08,6.168372057e-10,2.310114767e-08,0.1796789732,0.4451541531,7.045246009e-08,4.26917748e-09,1.373655811e-09,,,,,,reference
2010-01-29,4D,eigenfactor_a1.0/time_varying/patient,8554927.914,86.44376899,5.55243752,5.519142855,0.250152732,0.2486527149,3.894531888,3.741466049,0.9512455286,0.002057850803,,0.02252638915,1.000000018,0.3733730255,0.0004890257126,optimal,0,CLARABEL,,False,10,0.3634658382,2.968456671,0.005909989814,6.897844348e-05,0.0004890257126,False,,0.03062395621,0,False,1.9068664e-11,0.3634658382,0,False,8.703606874e-12,0.3733730255,0,True,0.2486527149,0.02252638915,0,0.004656144113,2.469163455e-10,1.167742643e-09,2.868508477e-08,0.2852508788,1.830484835e-09,1.977362531e-09,7.548077944e-11,2.437340449e-09,0.3634658382,0.3512832346,4.699479566e-09,3.036157953e-09,4.12237546e-09,,,,,,reference
2010-02-26,4D,eigenfactor_a1.0/time_varying/patient,8704852.794,62.65346716,3.653508453,3.635154918,0.1646007033,0.1637738256,2.822712714,2.970495344,0.9492348437,0.001439231246,,0.02252638994,1.000000054,0.2897741556,0.0001767441979,optimal,0,CLARABEL,,False,10,0.5128654659,2.538806216,0.006639709735,2.612044072e-05,0.0001767441979,False,,0.02312405688,0,False,6.552343323e-11,0.5128654659,0,False,1.872693738e-11,0.2897741556,0,True,0.1637738256,0.02252638994,0,0.005905678493,0,2.423846447e-09,6.192151489e-09,0.1654489535,8.169758712e-09,4.827272003e-09,0,7.726777412e-09,0.5128654659,0.3216855126,2.554613324e-08,5.072926906e-09,8.083594527e-09,,,,,,reference
